sample_id,span_label,prompt_side
1,baseline_injection,baseline
1,benign_carrier,baseline
1,question_span,baseline
10,baseline_injection,baseline
10,benign_carrier,baseline
10,question_span,baseline
11,baseline_injection,baseline
11,benign_carrier,baseline
11,question_span,baseline
12,baseline_injection,baseline
12,benign_carrier,baseline
12,question_span,baseline
13,baseline_injection,baseline
13,benign_carrier,baseline
13,question_span,baseline
14,baseline_injection,baseline
14,benign_carrier,baseline
14,question_span,baseline
15,baseline_injection,baseline
15,benign_carrier,baseline
15,question_span,baseline
16,baseline_injection,baseline
16,benign_carrier,baseline
16,question_span,baseline
17,baseline_injection,baseline
17,benign_carrier,baseline
17,question_span,baseline
18,baseline_injection,baseline
18,benign_carrier,baseline
18,question_span,baseline
19,baseline_injection,baseline
19,benign_carrier,baseline
19,question_span,baseline
2,baseline_injection,baseline
2,benign_carrier,baseline
2,question_span,baseline
20,baseline_injection,baseline
20,benign_carrier,baseline
20,question_span,baseline
21,baseline_injection,baseline
21,benign_carrier,baseline
21,question_span,baseline
22,baseline_injection,baseline
22,benign_carrier,baseline
22,question_span,baseline
23,baseline_injection,baseline
23,benign_carrier,baseline
23,question_span,baseline
24,baseline_injection,baseline
24,benign_carrier,baseline
24,question_span,baseline
25,baseline_injection,baseline
25,benign_carrier,baseline
25,question_span,baseline
26,baseline_injection,baseline
26,benign_carrier,baseline
26,question_span,baseline
27,baseline_injection,baseline
27,benign_carrier,baseline
27,question_span,baseline
28,baseline_injection,baseline
28,benign_carrier,baseline
28,question_span,baseline
29,baseline_injection,baseline
29,benign_carrier,baseline
29,question_span,baseline
3,baseline_injection,baseline
3,benign_carrier,baseline
3,question_span,baseline
30,baseline_injection,baseline
30,benign_carrier,baseline
30,question_span,baseline
31,baseline_injection,baseline
31,benign_carrier,baseline
31,question_span,baseline
32,baseline_injection,baseline
32,benign_carrier,baseline
32,question_span,baseline
33,baseline_injection,baseline
33,benign_carrier,baseline
33,question_span,baseline
34,baseline_injection,baseline
34,benign_carrier,baseline
34,question_span,baseline
35,baseline_injection,baseline
35,benign_carrier,baseline
35,question_span,baseline
36,baseline_injection,baseline
36,benign_carrier,baseline
36,question_span,baseline
37,baseline_injection,baseline
37,benign_carrier,baseline
37,question_span,baseline
38,baseline_injection,baseline
38,benign_carrier,baseline
38,question_span,baseline
39,baseline_injection,baseline
39,benign_carrier,baseline
39,question_span,baseline
4,baseline_injection,baseline
4,benign_carrier,baseline
4,question_span,baseline
40,baseline_injection,baseline
40,benign_carrier,baseline
40,question_span,baseline
41,baseline_injection,baseline
41,benign_carrier,baseline
41,question_span,baseline
42,baseline_injection,baseline
42,benign_carrier,baseline
42,question_span,baseline
43,baseline_injection,baseline
43,benign_carrier,baseline
43,question_span,baseline
44,baseline_injection,baseline
44,benign_carrier,baseline
44,question_span,baseline
45,baseline_injection,baseline
45,benign_carrier,baseline
45,question_span,baseline
46,baseline_injection,baseline
46,benign_carrier,baseline
46,question_span,baseline
47,baseline_injection,baseline
47,benign_carrier,baseline
47,question_span,baseline
48,baseline_injection,baseline
48,benign_carrier,baseline
48,question_span,baseline
49,baseline_injection,baseline
49,benign_carrier,baseline
49,question_span,baseline
5,baseline_injection,baseline
5,benign_carrier,baseline
5,question_span,baseline
50,baseline_injection,baseline
50,benign_carrier,baseline
50,question_span,baseline
6,baseline_injection,baseline
6,benign_carrier,baseline
6,question_span,baseline
7,baseline_injection,baseline
7,benign_carrier,baseline
7,question_span,baseline
8,baseline_injection,baseline
8,benign_carrier,baseline
8,question_span,baseline
9,baseline_injection,baseline
9,benign_carrier,baseline
9,question_span,baseline
1,fragweave_woven,fragweave
1,fragweave_woven,fragweave
1,fragweave_woven,fragweave
10,fragweave_woven,fragweave
10,fragweave_woven,fragweave
10,fragweave_woven,fragweave
11,fragweave_woven,fragweave
11,fragweave_woven,fragweave
11,fragweave_woven,fragweave
12,fragweave_woven,fragweave
12,fragweave_woven,fragweave
12,fragweave_woven,fragweave
13,fragweave_woven,fragweave
13,fragweave_woven,fragweave
13,fragweave_woven,fragweave
14,fragweave_woven,fragweave
14,fragweave_woven,fragweave
14,fragweave_woven,fragweave
15,fragweave_woven,fragweave
15,fragweave_woven,fragweave
15,fragweave_woven,fragweave
16,fragweave_woven,fragweave
16,fragweave_woven,fragweave
16,fragweave_woven,fragweave
17,fragweave_woven,fragweave
17,fragweave_woven,fragweave
17,fragweave_woven,fragweave
18,fragweave_woven,fragweave
18,fragweave_woven,fragweave
18,fragweave_woven,fragweave
19,fragweave_woven,fragweave
19,fragweave_woven,fragweave
19,fragweave_woven,fragweave
2,fragweave_woven,fragweave
2,fragweave_woven,fragweave
2,fragweave_woven,fragweave
20,fragweave_woven,fragweave
20,fragweave_woven,fragweave
20,fragweave_woven,fragweave
21,fragweave_woven,fragweave
21,fragweave_woven,fragweave
21,fragweave_woven,fragweave
22,fragweave_woven,fragweave
22,fragweave_woven,fragweave
22,fragweave_woven,fragweave
23,fragweave_woven,fragweave
23,fragweave_woven,fragweave
23,fragweave_woven,fragweave
24,fragweave_woven,fragweave
24,fragweave_woven,fragweave
24,fragweave_woven,fragweave
25,fragweave_woven,fragweave
25,fragweave_woven,fragweave
25,fragweave_woven,fragweave
26,fragweave_woven,fragweave
26,fragweave_woven,fragweave
26,fragweave_woven,fragweave
27,fragweave_woven,fragweave
27,fragweave_woven,fragweave
27,fragweave_woven,fragweave
28,fragweave_woven,fragweave
28,fragweave_woven,fragweave
28,fragweave_woven,fragweave
29,fragweave_woven,fragweave
29,fragweave_woven,fragweave
29,fragweave_woven,fragweave
3,fragweave_woven,fragweave
3,fragweave_woven,fragweave
3,fragweave_woven,fragweave
30,fragweave_woven,fragweave
30,fragweave_woven,fragweave
30,fragweave_woven,fragweave
31,fragweave_woven,fragweave
31,fragweave_woven,fragweave
31,fragweave_woven,fragweave
32,fragweave_woven,fragweave
32,fragweave_woven,fragweave
32,fragweave_woven,fragweave
33,fragweave_woven,fragweave
33,fragweave_woven,fragweave
33,fragweave_woven,fragweave
34,fragweave_woven,fragweave
34,fragweave_woven,fragweave
34,fragweave_woven,fragweave
35,fragweave_woven,fragweave
35,fragweave_woven,fragweave
35,fragweave_woven,fragweave
36,fragweave_woven,fragweave
36,fragweave_woven,fragweave
36,fragweave_woven,fragweave
37,fragweave_woven,fragweave
37,fragweave_woven,fragweave
37,fragweave_woven,fragweave
38,fragweave_woven,fragweave
38,fragweave_woven,fragweave
38,fragweave_woven,fragweave
39,fragweave_woven,fragweave
39,fragweave_woven,fragweave
39,fragweave_woven,fragweave
4,fragweave_woven,fragweave
4,fragweave_woven,fragweave
4,fragweave_woven,fragweave
40,fragweave_woven,fragweave
40,fragweave_woven,fragweave
40,fragweave_woven,fragweave
41,fragweave_woven,fragweave
41,fragweave_woven,fragweave
41,fragweave_woven,fragweave
42,fragweave_woven,fragweave
42,fragweave_woven,fragweave
42,fragweave_woven,fragweave
43,fragweave_woven,fragweave
43,fragweave_woven,fragweave
43,fragweave_woven,fragweave
44,fragweave_woven,fragweave
44,fragweave_woven,fragweave
44,fragweave_woven,fragweave
45,fragweave_woven,fragweave
45,fragweave_woven,fragweave
45,fragweave_woven,fragweave
46,fragweave_woven,fragweave
46,fragweave_woven,fragweave
46,fragweave_woven,fragweave
47,fragweave_woven,fragweave
47,fragweave_woven,fragweave
47,fragweave_woven,fragweave
48,fragweave_woven,fragweave
48,fragweave_woven,fragweave
48,fragweave_woven,fragweave
49,fragweave_woven,fragweave
49,fragweave_woven,fragweave
49,fragweave_woven,fragweave
5,fragweave_woven,fragweave
5,fragweave_woven,fragweave
5,fragweave_woven,fragweave
50,fragweave_woven,fragweave
50,fragweave_woven,fragweave
50,fragweave_woven,fragweave
6,fragweave_woven,fragweave
6,fragweave_woven,fragweave
6,fragweave_woven,fragweave
7,fragweave_woven,fragweave
7,fragweave_woven,fragweave
7,fragweave_woven,fragweave
8,fragweave_woven,fragweave
8,fragweave_woven,fragweave
8,fragweave_woven,fragweave
9,fragweave_woven,fragweave
9,fragweave_woven,fragweave
9,fragweave_woven,fragweave
